data_year,group,count
1991,Anti-Asian,269
1991,Anti-Black,1629
1991,Anti-Hispanic,231
1992,Anti-Asian,222
1992,Anti-Black,2312
1992,Anti-Hispanic,371
1993,Anti-Asian,260
1993,Anti-Black,2825
1993,Anti-Hispanic,418
1994,Anti-Asian,211
1994,Anti-Black,2179
1994,Anti-Hispanic,341
1995,Anti-Asian,355
1995,Anti-Black,2994
1995,Anti-Hispanic,517
1996,Anti-Asian,356
1996,Anti-Black,3677
1996,Anti-Hispanic,566
1997,Anti-Asian,346
1997,Anti-Black,3148
1997,Anti-Hispanic,490
1998,Anti-Asian,296
1998,Anti-Black,2964
1998,Anti-Hispanic,495
1999,Anti-Asian,303
1999,Anti-Black,2989
1999,Anti-Hispanic,476
2000,Anti-Asian,280
2000,Anti-Black,2939
2000,Anti-Hispanic,573
2001,Anti-Asian,280
2001,Anti-Black,2922
2001,Anti-Hispanic,607
2002,Anti-Asian,219
2002,Anti-Black,2507
2002,Anti-Hispanic,482
2003,Anti-Asian,236
2003,Anti-Black,2574
2003,Anti-Hispanic,432
2004,Anti-Asian,224
2004,Anti-Black,2765
2004,Anti-Hispanic,478
2005,Anti-Asian,208
2005,Anti-Black,2671
2005,Anti-Hispanic,538
2006,Anti-Asian,184
2006,Anti-Black,2631
2006,Anti-Hispanic,589
2007,Anti-Asian,190
2007,Anti-Black,2674
2007,Anti-Hispanic,598
2008,Anti-Asian,143
2008,Anti-Black,2953
2008,Anti-Hispanic,575
2009,Anti-Asian,128
2009,Anti-Black,2300
2009,Anti-Hispanic,486
2010,Anti-Asian,152
2010,Anti-Black,2202
2010,Anti-Hispanic,534
2011,Anti-Asian,137
2011,Anti-Black,2102
2011,Anti-Hispanic,405
2012,Anti-Asian,143
2012,Anti-Black,2061
2012,Anti-Hispanic,429
2013,Anti-Asian,134
2013,Anti-Black,1911
2013,Anti-Hispanic,341
2014,Anti-Asian,139
2014,Anti-Black,1658
2014,Anti-Hispanic,307
2015,Anti-Asian,115
2015,Anti-Black,1757
2015,Anti-Hispanic,300
2016,Anti-Asian,115
2016,Anti-Black,1791
2016,Anti-Hispanic,357
2017,Anti-Asian,132
2017,Anti-Black,2103
2017,Anti-Hispanic,446
2018,Anti-Asian,150
2018,Anti-Black,1997
2018,Anti-Hispanic,503
2019,Anti-Asian,199
2019,Anti-Black,2298
2019,Anti-Hispanic,580
2020,Anti-Asian,358
2020,Anti-Black,3690
2020,Anti-Hispanic,661
2021,Anti-Asian,783
2021,Anti-Black,3498
2021,Anti-Hispanic,737
2022,Anti-Asian,527
2022,Anti-Black,3633
2022,Anti-Hispanic,778
2023,Anti-Asian,430
2023,Anti-Black,3225
2023,Anti-Hispanic,861
