date,city,state,hate_crime,offender_category,offense_cat,offender_sex,offender_race,offender_age,arrest,white
1/15/2023,FAIRBANKS,AK,Anti-Black,290,Property Crimes,NA,NA,NA,NA,NA
2/25/2023,FAIRBANKS,AK,Anti-Black,131,Violent Crimes,Male,Hispanic,49,On-View Arrest,non-white
11/15/2023,ANCHORAGE,AK,Anti-Black,132,Violent Crimes,Male,White,31,On-View Arrest,white
8/4/2023,ANCHORAGE,AK,Anti-Hispanic,133,Violent Crimes,Male,NA,39,NA,NA
9/21/2023,BIRMINGHAM,AL,Anti-Black,133,Violent Crimes,Female,White,0,NA,white
12/29/2023,BIRMINGHAM,AL,Anti-Black,133,Violent Crimes,Female,White,38,NA,white
5/15/2023,BAYOU LA BATRE,AL,Anti-Asian,133,Violent Crimes,Male,White,65,NA,white
1/2/2023, ,AL,Anti-Black,132,Violent Crimes,Male,White,42,NA,white
5/11/2023, ,AL,Anti-Black,132,Violent Crimes,Male,White,0,NA,white
7/19/2023,PRATTVILLE,AL,Anti-Black,133,Violent Crimes,Female,White,63,NA,white
9/21/2023,LOXLEY,AL,Anti-Hispanic,132,Violent Crimes,Female,White,70,NA,white
12/1/2023,ORANGE BEACH,AL,Anti-Black,133,Violent Crimes,Female,White,15,NA,white
4/21/2023,SPANISH FORT,AL,Anti-Black,132,Violent Crimes,Male,White,14,NA,white
2/21/2023,BRENT,AL,Anti-Black,133,Violent Crimes,Male,White,50,On-View Arrest,white
5/24/2023,ONEONTA,AL,Anti-Hispanic,133,Violent Crimes,Male,White,51,NA,white
5/24/2023,ONEONTA,AL,Anti-Hispanic,133,Violent Crimes,Male,White,51,NA,white
6/19/2023,ONEONTA,AL,Anti-Black,132,Violent Crimes,Male,White,36,NA,white
5/25/2023,ANNISTON,AL,Anti-Black,133,Violent Crimes,Female,White,43,Taken into Custody,white
6/13/2023,THOMASVILLE,AL,Anti-Black,131,Violent Crimes,Male,Black,27,Summoned,non-white
5/29/2023,ENTERPRISE,AL,Anti-Hispanic,133,Violent Crimes,Male,Black,74,NA,non-white
6/24/2023,ENTERPRISE,AL,Anti-Black,132,Violent Crimes,Male,White,38,NA,white
5/25/2023,TUSCUMBIA,AL,Anti-Black,133,Violent Crimes,Male,White,54,NA,white
5/7/2023,MUSCLE SHOALS,AL,Anti-Black,133,Violent Crimes,Male,White,58,NA,white
