"county_state","county","state","total_pop","asian_pop","crime_total","crime_rate","rank_total","rank_rate","log_total","log_rate","x1","y1","x2","y2"
"Kauai, Hawaii","Kauai","Hawaii",73298,21102,1,0.473888731,185,184,0.693147180559945,0.387904303129467,1,0.693147180559945,0.693147180559945,0.387904303129467
"Brazoria, Texas","Brazoria","Texas",372031,26592,1,0.376052948,185,186,0.693147180559945,0.319219218421992,2,0.693147180559945,0.693147180559945,0.319219218421992
"El Paso, Texas","El Paso","Texas",865657,12073,2,1.656589083,179,152,1.09861228866811,0.977043000319883,3,1.09861228866811,1.09861228866811,0.977043000319883
"Warren, Ohio","Warren","Ohio",242337,17331,2,1.1540015,179,171,1.09861228866811,0.767327275112784,4,1.09861228866811,1.09861228866811,0.767327275112784
"Allen, Indiana","Allen","Indiana",385410,18304,2,1.092657343,179,172,1.09861228866811,0.738434714341918,5,1.09861228866811,1.09861228866811,0.738434714341918
"Rockland, New York","Rockland","New York",338329,20685,2,0.966884216,179,174,1.09861228866811,0.676450674430895,6,1.09861228866811,1.09861228866811,0.676450674430895
"Guilford, North Carolina","Guilford","North Carolina",541299,28922,2,0.69151511,179,182,1.09861228866811,0.525624642098521,7,1.09861228866811,1.09861228866811,0.525624642098521
"Maui, Hawaii","Maui","Hawaii",164754,44328,2,0.451182097,179,185,1.09861228866811,0.372378463615758,8,1.09861228866811,1.09861228866811,0.372378463615758
"Bell, Texas","Bell","Texas",370647,11466,3,2.616431188,170,108,1.38629436111989,1.2854876798899,9,1.38629436111989,1.38629436111989,1.2854876798899
"Pasco, Florida","Pasco","Florida",561891,16775,3,1.788375559,170,145,1.38629436111989,1.02545918934998,10,1.38629436111989,1.38629436111989,1.02545918934998
"Sutter, California","Sutter","California",99633,18234,3,1.645278052,170,154,1.38629436111989,0.972776183414651,11,1.38629436111989,1.38629436111989,0.972776183414651
"Kane, Illinois","Kane","Illinois",516522,21634,3,1.386706111,170,161,1.38629436111989,0.869914219123183,12,1.38629436111989,1.38629436111989,0.869914219123183
"Kent, Michigan","Kent","Michigan",657974,21980,3,1.364877161,170,162,1.38629436111989,0.860726080214398,13,1.38629436111989,1.38629436111989,0.860726080214398
"Sedgwick, Kansas","Sedgwick","Kansas",523824,22511,3,1.3326818,170,165,1.38629436111989,0.847018592824219,14,1.38629436111989,1.38629436111989,0.847018592824219
"Adams, Colorado","Adams","Colorado",519572,23268,3,1.289324394,170,167,1.38629436111989,0.828256749583724,15,1.38629436111989,1.38629436111989,0.828256749583724
"Anchorage Municipality, Alaska","Anchorage Municipality","Alaska",291247,27646,3,1.085147942,170,173,1.38629436111989,0.734839808129233,16,1.38629436111989,1.38629436111989,0.734839808129233
"Macomb, Michigan","Macomb","Michigan",881217,38421,3,0.780822987,170,178,1.38629436111989,0.577075609699319,17,1.38629436111989,1.38629436111989,0.577075609699319
"Kitsap, Washington","Kitsap","Washington",275611,14412,4,2.77546489,159,103,1.6094379124341,1.32852352478756,18,1.6094379124341,1.6094379124341,1.32852352478756
"Hillsborough, New Hampshire","Hillsborough","New Hampshire",422937,16523,4,2.420867881,159,120,1.6094379124341,1.22989428525554,19,1.6094379124341,1.6094379124341,1.22989428525554
"Durham, North Carolina","Durham","North Carolina",324833,16817,4,2.378545519,159,122,1.6094379124341,1.2174452970583,20,1.6094379124341,1.6094379124341,1.2174452970583
"Delaware, Ohio","Delaware","Ohio",214124,18216,4,2.195871761,159,130,1.6094379124341,1.16185990225545,21,1.6094379124341,1.6094379124341,1.16185990225545
"Anoka, Minnesota","Anoka","Minnesota",363887,19257,4,2.077166745,159,135,1.6094379124341,1.12400928564187,22,1.6094379124341,1.6094379124341,1.12400928564187
"Douglas, Colorado","Douglas","Colorado",357978,20064,4,1.993620415,159,138,1.6094379124341,1.0964834960628,23,1.6094379124341,1.6094379124341,1.0964834960628
"Hamilton, Indiana","Hamilton","Indiana",347467,23595,4,1.695274423,159,150,1.6094379124341,0.991500025893113,24,1.6094379124341,1.6094379124341,0.991500025893113
"Jefferson, Kentucky","Jefferson","Kentucky",782969,27115,4,1.47519823,159,157,1.6094379124341,0.906320485742679,25,1.6094379124341,1.6094379124341,0.906320485742679
"Passaic, New Jersey","Passaic","New Jersey",524118,30852,4,1.296512382,159,166,1.6094379124341,0.831391616452172,26,1.6094379124341,1.6094379124341,0.831391616452172
"Prince William, Virginia","Prince William","Virginia",482204,50314,4,0.795007354,159,176,1.6094379124341,0.585009118867783,27,1.6094379124341,1.6094379124341,0.585009118867783
"Williamson, Texas","Williamson","Texas",609017,54628,4,0.732225232,159,181,1.6094379124341,0.54940684325601,28,1.6094379124341,1.6094379124341,0.54940684325601
"Utah, Utah","Utah","Utah",659399,10413,5,4.801690195,151,53,1.79175946922805,1.75814928803091,29,1.79175946922805,1.79175946922805,1.75814928803091
"Brevard, Florida","Brevard","Florida",606612,15913,5,3.142085088,151,93,1.79175946922805,1.42119930549537,30,1.79175946922805,1.79175946922805,1.42119930549537
"Jefferson Parish, Louisiana","Jefferson Parish","Louisiana",440781,19780,5,2.527805865,151,109,1.79175946922805,1.26067610970307,31,1.79175946922805,1.79175946922805,1.26067610970307
"Washoe, Nevada","Washoe","Nevada",486492,28799,5,1.736171395,151,148,1.79175946922805,1.00655964216957,32,1.79175946922805,1.79175946922805,1.00655964216957
"Chester, Pennsylvania","Chester","Pennsylvania",534413,35252,5,1.418359242,151,159,1.79175946922805,0.883089311049661,33,1.79175946922805,1.79175946922805,0.883089311049661
"Hawaii, Hawaii","Hawaii","Hawaii",200629,39607,5,1.262403111,151,169,1.79175946922805,0.816427571807573,34,1.79175946922805,1.79175946922805,0.816427571807573
