"INCDATE","month","V20061","offense_code","offense_category"
2023-09-20,2023-09-01,132,132,"Assault"
2023-10-20,2023-10-01,238,238,"Theft/Fraud/Burglary"
2023-09-23,2023-09-01,132,132,"Assault"
2023-03-28,2023-03-01,280,280,"Theft/Fraud/Burglary"
2023-11-27,2023-11-01,280,280,"Theft/Fraud/Burglary"
2023-09-16,2023-09-01,290,290,"Vandalism"
2023-05-20,2023-05-01,131,131,"Assault"
2023-01-16,2023-01-01,132,132,"Assault"
2023-04-20,2023-04-01,290,290,"Vandalism"
2023-04-20,2023-04-01,133,133,"Intimidation"
2023-04-20,2023-04-01,133,133,"Intimidation"
2023-06-26,2023-06-01,132,132,"Assault"
2023-05-25,2023-05-01,238,238,"Theft/Fraud/Burglary"
2023-11-24,2023-11-01,133,133,"Intimidation"
2023-10-14,2023-10-01,131,131,"Assault"
2023-03-16,2023-03-01,133,133,"Intimidation"
2023-10-20,2023-10-01,290,290,"Vandalism"
2023-08-19,2023-08-01,131,131,"Assault"
2023-05-20,2023-05-01,132,132,"Assault"
2023-06-20,2023-06-01,132,132,"Assault"
2023-06-20,2023-06-01,131,131,"Assault"
2023-11-20,2023-11-01,290,290,"Vandalism"
2023-01-21,2023-01-01,132,132,"Assault"
2023-02-20,2023-02-01,132,132,"Assault"
2023-10-17,2023-10-01,132,132,"Assault"
2023-01-28,2023-01-01,131,131,"Assault"
2023-01-20,2023-01-01,290,290,"Vandalism"
2023-07-20,2023-07-01,133,133,"Intimidation"
2023-06-20,2023-06-01,238,238,"Theft/Fraud/Burglary"
2023-05-30,2023-05-01,233,233,"Theft/Fraud/Burglary"
2023-06-20,2023-06-01,290,290,"Vandalism"
2023-11-30,2023-11-01,233,233,"Theft/Fraud/Burglary"
2023-01-20,2023-01-01,132,132,"Assault"
2023-08-20,2023-08-01,131,131,"Assault"
2023-11-20,2023-11-01,132,132,"Assault"
2023-09-26,2023-09-01,131,131,"Assault"
2023-10-20,2023-10-01,290,290,"Vandalism"
2023-12-20,2023-12-01,133,133,"Intimidation"
2023-10-21,2023-10-01,132,132,"Assault"
2023-10-24,2023-10-01,133,133,"Intimidation"
2023-03-17,2023-03-01,131,131,"Assault"
2023-09-21,2023-09-01,131,131,"Assault"
2023-06-26,2023-06-01,91,91,"Other"
2023-09-20,2023-09-01,234,234,"Theft/Fraud/Burglary"
2023-02-22,2023-02-01,132,132,"Assault"
2023-09-25,2023-09-01,132,132,"Assault"
2023-11-28,2023-11-01,132,132,"Assault"
2023-12-20,2023-12-01,133,133,"Intimidation"
2023-04-20,2023-04-01,132,132,"Assault"
2023-07-21,2023-07-01,220,220,"Theft/Fraud/Burglary"
2023-06-20,2023-06-01,131,131,"Assault"
2023-07-20,2023-07-01,520,520,"Drug/Weapons Violation"
2023-11-30,2023-11-01,270,270,"Theft/Fraud/Burglary"
