state,cr_asian,cr_black,cr_hispanic,pop_asian,pop_black,pop_hispanic,rate_asian,rate_black,rate_hispanic
AK,0,5,1,44032,21898,25852,0,2.283313545,0.386817268
AL,1,196,19,76660,1296162,75830,0.130446126,1.512156659,2.505604642
AR,3,81,23,51839,453783,86866,0.578714867,1.784994149,2.647756314
AZ,7,105,24,257430,339150,1295617,0.27191858,3.095975232,0.185239928
CA,156,645,232,6085947,2237044,10966556,0.256328226,2.883269171,0.211552287
CO,60,444,218,199827,234828,735801,3.002597247,18.90745567,2.962757593
CT,25,242,48,172455,388675,320323,1.449653533,6.226281598,1.498487464
DC,16,56,42,33545,285810,44953,4.769712327,1.95934362,9.343091674
DE,3,63,6,42699,218899,37277,0.702592567,2.878039644,1.609571586
FL,6,87,15,643682,3246381,2682715,0.09321373,0.267990726,0.055913506
GA,16,349,62,479028,3320513,435227,0.334009703,1.051042414,1.424543974
HI,25,60,2,541902,23417,87699,0.461338028,25.62241107,0.228052771
IA,7,118,17,75629,131972,82473,0.925570879,8.941290577,2.061280662
ID,4,87,45,26836,15726,101690,1.490535102,55.32239603,4.425213885
IL,19,204,55,754878,1808271,1530262,0.251696301,1.128149486,0.359415577
IN,15,247,46,167959,648513,214536,0.893075096,3.808713164,2.144162285
KS,9,263,48,86273,168809,188252,1.043200074,15.57973805,2.549773708
KY,21,522,65,74426,362417,59939,2.821594604,14.40329786,10.84435843
LA,4,133,5,86438,1464023,107738,0.462759435,0.908455673,0.464088808
MA,132,916,167,507934,494029,428729,2.598762831,18.54142166,3.895234519
MD,8,229,33,420944,1820472,227916,0.190049033,1.25791553,1.447901859
ME,12,110,6,16798,25752,9360,7.143707584,42.71512892,6.41025641
MI,51,1442,127,334300,1376579,323877,1.52557583,10.47524334,3.921241706
MN,33,286,52,299190,398434,143382,1.102978041,7.17810227,3.626675594
MO,8,340,46,133377,699840,118592,0.599803564,4.858253315,3.878845116
MS,6,37,5,32709,1084481,39569,1.834357516,0.341177024,1.263615457
MT,2,45,4,8300,5484,18081,2.409638554,82.05689278,2.212267021
NE,1,66,25,52951,96535,94425,0.188853846,6.836898534,2.647603918
NC,22,482,103,343051,2140217,378963,0.641304063,2.252108081,2.71794344
ND,3,70,16,13213,26783,7786,2.270491183,26.13598178,20.5497046
NH,8,81,2,35871,20127,20489,2.230213822,40.24444776,0.976133535
NJ,53,477,73,950090,1219770,1117191,0.557841889,3.910573305,0.653424526
NM,1,54,37,37469,45904,765386,0.266887293,11.76368072,0.483416211
NV,26,110,40,272703,304739,393970,0.953418188,3.609646287,1.015305734
NY,47,182,22,1933127,2986172,2867583,0.243129396,0.609475944,0.076719663
OH,44,1020,106,298509,1478781,217123,1.473992409,6.897573069,4.882025396
OK,6,140,25,90949,289961,179304,0.659710387,4.828235521,1.394280105
OR,46,587,181,194538,82655,275314,2.364576587,71.01808723,6.574311513
PA,43,202,27,510501,1423169,394088,0.842309809,1.419367623,0.685126165
RI,6,27,7,38961,62168,90820,1.54000154,4.34307039,0.77075534
SC,6,254,35,90466,1280531,95076,0.663232596,1.983552136,3.681265514
SD,0,41,14,13476,17842,10903,0,22.9794866,12.84050261
TN,19,487,68,135615,1092948,123838,1.40102496,4.455838704,5.491044752
TX,62,746,307,1585480,3552997,6669666,0.391048768,2.099635885,0.460292914
UT,11,91,53,80438,40058,201559,1.367512867,22.71706026,2.629503024
VA,41,556,74,615436,1607581,329540,0.666194373,3.458612661,2.245554409
VT,7,128,4,11549,9034,5504,6.061130834,141.6869604,7.26744186
WA,237,1194,291,730596,307565,441509,3.243926876,38.82106221,6.591032119
WI,14,196,50,175702,376256,192921,0.796803679,5.209219255,2.591734441
WV,6,82,5,15109,65813,12279,3.971143027,12.45954447,4.071992833
WY,1,15,2,5212,5232,31669,1.918649271,28.66972477,0.631532413
